rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms,time_signature,bx_speechiness,bx_acousticness,lg_liveness,pc1,pc2,cluster
35,2017-01-01,Drake,Controlla,"365,140",0.611,0.46799999999999997,10.0,-11.084000000000001,0.0,0.179,0.0781,0.10099999999999999,0.349,92.09200000000001,spotify:track:3O8NlPh2LByMU9lSRSHedm,245227.0,4.0,-1.966336145068622,-1.9253341746745456,-2.2926347621408776,1.553463610401854,-0.2858918004576198,3
36,2017-01-01,Calvin Harris,This Is What You Came For (feat. Rihanna),"362,959",0.63,0.9279999999999999,9.0,-2.787,0.0,0.0331,0.19899999999999998,0.14800000000000002,0.465,123.963,spotify:track:0azC730Exh71aQlOt9Zj3y,222160.0,4.0,-4.465806722472863,-1.3468603072696976,-1.910543005218022,-1.5885685093768422,0.39300935983322133,2
37,2017-01-01,James Arthur,Say You Won't Let Go,"361,392",0.358,0.557,10.0,-7.398,1.0,0.059000000000000004,0.695,0.0902,0.494,85.04299999999999,spotify:track:5uCax9HTNlzGybIStD3vDh,211467.0,4.0,-3.536764868808988,-0.3489283592996775,-2.405725851913559,0.9477674957817013,0.37444157439313075,3
38,2017-01-01,The Chainsmokers,All We Know (feat. Phoebe Ryan),"351,014",0.662,0.586,0.0,-8.821,1.0,0.0307,0.09699999999999999,0.115,0.29600000000000004,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,194080.0,4.0,-4.592911128632738,-1.8022317553712177,-2.162823150618887,0.7908045069190109,-0.05178897648054067,3
39,2017-01-01,Young Thug,pick up the phone,"350,286",0.711,0.7390000000000001,7.0,-3.804,0.0,0.129,0.114,0.226,0.43,136.91899999999998,spotify:track:20dP2DaMHIAmwWAbp7peSr,252256.0,4.0,-2.4026166890096525,-1.7063990072682247,-1.487220279709851,-1.1158496576725174,0.38586310935074264,2
40,2017-01-01,KYLE,iSpy (feat. Lil Yachty),"349,836",0.746,0.653,7.0,-6.745,1.0,0.289,0.37799999999999995,0.22899999999999998,0.672,75.016,spotify:track:2EEeOnHehOozLq4aS0n6SL,253107.0,4.0,-1.3661994161173414,-0.8710041074546998,-1.4740332754278975,-0.08807386425603106,0.11134984758531258,1
41,2017-01-01,Sia,Cheap Thrills,"345,244",0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.0907,0.732,89.976,spotify:track:3S4px9f4lceWdKf0gWciFu,211667.0,4.0,-2.6881103793868255,-2.1886069480537524,-2.400197921861046,-0.6373261655668816,-0.453947661043832,4
42,2017-01-01,Rihanna,Needed Me,"342,524",0.6709999999999999,0.314,5.0,-8.091000000000001,0.0,0.244,0.11,0.0825,0.29600000000000004,110.898,spotify:track:4pAl7FkDMNBsjykPXo91B3,191600.0,4.0,-1.5732690546290669,-1.7279053852044866,-2.494956985641502,1.1992827277279774,-0.7272497017470956,3
44,2017-01-01,Desiigner,Panda,"332,310",0.685,0.731,10.0,-5.502999999999999,0.0,0.414,0.0292,0.369,0.266,145.245,spotify:track:275a9yzwGB6ncAW4SxY7q3,247867.0,4.0,-0.9437463484107355,-2.4126053370575784,-0.9969586349416099,-0.8128527805497807,0.9325441206642161,2
45,2017-01-01,Alessia Cara,Scars To Your Beautiful,"331,379",0.573,0.7390000000000001,0.0,-5.74,1.0,0.129,0.0285,0.111,0.451,97.085,spotify:track:0prNGof3XqfTvNDxHonvdK,230227.0,4.0,-2.4026166890096525,-2.4232753880168447,-2.198225077669803,-0.5750647600530715,0.04563550446260126,1
46,2017-01-01,Shawn Mendes,Mercy,"323,626",0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.111,0.35600000000000004,148.128,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0,-3.030603919276634,-1.6501065988830708,-2.198225077669803,-0.40904624100883075,0.11289880902215799,1
