,rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,days
39729,138,2017-07-21,Meek Mill,Fuck That Check Up (feat. Lil Uzi Vert),"255,712",0.861,0.715,11.0,-4.393,0.0,0.301,0.00227,0.0,0.14400000000000002,0.535,148.971,spotify:track:2IjgKCbrk8CtqmsOC5DhVd,257867.0,4.0,6.0
39730,139,2017-07-21,Linkin Park,Lying from You,"255,550",0.535,0.951,3.0,-3.324,0.0,0.18,0.00777,0.0,0.0669,0.723,160.102,spotify:track:3BmjRmFTESgWZLPSVGp8aG,175373.0,4.0,1.0
39731,140,2017-07-21,Meek Mill,Wins & Losses,"254,525",0.6829999999999999,0.8540000000000001,2.0,-3.915,1.0,0.196,0.0948,0.0,0.267,0.131,92.006,spotify:track:0hjLM1wMtk27Qd4ZihyHmi,189057.0,4.0,4.0
39733,142,2017-07-21,Linkin Park,Runaway,"251,499",0.636,0.884,7.0,-4.743,1.0,0.0584,0.0142,0.0,0.253,0.446,109.16,spotify:track:6xtQ23d8GEXgcxyUKPtwc5,183973.0,4.0,1.0
39735,144,2017-07-21,"Tyler, The Creator","Enjoy Right Now, Today","249,847",0.7290000000000001,0.675,1.0,-6.007999999999999,1.0,0.187,0.037000000000000005,0.847,0.0891,0.654,162.126,spotify:track:3R1Vu4Ws7UitwDxDHTol0P,235400.0,4.0,2.0
39741,150,2017-07-21,Meek Mill,We Ball (feat. Young Thug),"245,024",0.624,0.728,0.0,-6.39,1.0,0.465,0.141,0.0,0.106,0.599,152.088,spotify:track:4iDtAYDLJWM2TrTERKPvFq,227957.0,4.0,2.0
39747,156,2017-07-21,Linkin Park,From the Inside,"236,390",0.466,0.965,1.0,-2.597,0.0,0.0904,0.042,0.0,0.10099999999999999,0.45299999999999996,95.02799999999999,spotify:track:60IkVf7UfQXmt5CwkpcX8a,173933.0,3.0,1.0
39756,165,2017-07-21,NAV,A$AP Ferg,"229,184",0.5820000000000001,0.408,11.0,-8.802999999999999,0.0,0.425,0.168,0.0,0.08199999999999999,0.23199999999999998,140.009,spotify:track:4EbULzyWMuFx94aoIY1MlJ,257493.0,4.0,20.0
39758,167,2017-07-21,NAV,Perfect Timing (Intro),"225,364",0.784,0.47600000000000003,8.0,-9.963,1.0,0.32799999999999996,0.0737,0.000778,0.221,0.187,77.06,spotify:track:5Od0M7jp6IODTPW0cygHgu,177027.0,4.0,2.0
39759,168,2017-07-21,Linkin Park,Invisible,"222,346",0.47,0.74,11.0,-6.093,1.0,0.07,0.0455,0.0,0.091,0.562,84.84100000000001,spotify:track:6OocN63GLU7NF0wHdewhID,214347.0,4.0,1.0
39762,171,2017-07-21,Lana Del Rey,Coachella - Woodstock In My Mind,"221,104",0.535,0.6579999999999999,7.0,-7.425,1.0,0.0998,0.18899999999999997,4.11e-05,0.0683,0.413,129.835,spotify:track:5UPHeuDP0AnG830Yf3bJJD,258398.0,4.0,2.0
39763,172,2017-07-21,Lana Del Rey,God Bless America - And All The Beautiful Women In It,"218,615",0.374,0.6970000000000001,9.0,-6.544,1.0,0.0637,0.41100000000000003,0.21100000000000002,0.122,0.244,87.96,spotify:track:7nns9KjsadA1Cx7as2eGNG,276437.0,4.0,2.0
39764,173,2017-07-21,X Ambassadors,Ahead Of Myself,"217,662",0.5870000000000001,0.542,5.0,-7.876,1.0,0.034,0.0014,0.0,0.0906,0.371,89.991,spotify:track:5KrEN8aGZnvS2UU6molPFs,223147.0,4.0,1.0
39765,174,2017-07-21,Meek Mill,Issues,"217,407",0.784,0.608,7.0,-5.885,1.0,0.245,0.16699999999999998,0.0,0.0871,0.382,90.713,spotify:track:1GOuHB20lqVyxv3GdxovPY,211685.0,4.0,4.0
39768,177,2017-07-21,Lana Del Rey,Tomorrow Never Came (feat. Sean Ono Lennon),"214,502",0.297,0.402,0.0,-9.757,1.0,0.0346,0.8190000000000001,0.000181,0.109,0.177,138.019,spotify:track:6VZwnDUMkAZs36g6v9MVQX,307540.0,4.0,2.0
39772,181,2017-07-21,Linkin Park,Don't Stay,"211,244",0.27899999999999997,0.9570000000000001,7.0,-3.298,1.0,0.0934,2.18e-05,0.000346,0.469,0.41200000000000003,90.193,spotify:track:6LiIstY78Sj6W6cJ8HVETy,196893.0,4.0,1.0
39773,182,2017-07-21,Linkin Park,My December,"210,841",0.73,0.585,0.0,-9.274,1.0,0.0238,0.375,0.0101,0.147,0.721,100.021,spotify:track:0fxGA5lxrdYNYoE7yJxTNZ,260560.0,4.0,1.0
39775,184,2017-07-21,A-Trak,Believe,"209,745",0.8640000000000001,0.6890000000000001,2.0,-4.508,1.0,0.0713,0.0569,0.0,0.0678,0.7120000000000001,142.082,spotify:track:4CQGG4DimjEDPEli6xfhuJ,213732.0,4.0,1.0
39777,186,2017-07-21,Lana Del Rey,Heroin,"206,900",0.35200000000000004,0.41,11.0,-8.796,0.0,0.0388,0.556,0.0113,0.114,0.0952,118.721,spotify:track:7lSdUlVf8k6kxklKkskb1m,355184.0,4.0,2.0
39778,187,2017-07-21,Lana Del Rey,When The World Was At War We Kept Dancing,"206,708",0.616,0.605,7.0,-7.234,1.0,0.0343,0.09699999999999999,0.00812,0.165,0.185,116.031,spotify:track:0dssTLrqY79Klk6jx2RXCj,275617.0,4.0,1.0
39789,198,2017-07-21,Meek Mill,Heavy Heart,"198,513",0.47200000000000003,0.695,10.0,-5.008,0.0,0.44299999999999995,0.239,0.0,0.0942,0.35100000000000003,73.031,spotify:track:1QiwdLAzAnzmiwvoGMXM7b,250467.0,3.0,1.0
39790,199,2017-07-21,NAV,Both Sides,"196,202",0.7490000000000001,0.483,1.0,-8.744,1.0,0.312,0.289,0.000348,0.19699999999999998,0.27399999999999997,140.084,spotify:track:0RRAHU9Dkui4ZuroPk7XF3,208867.0,4.0,2.0
40326,137,2017-07-24,Meek Mill,1942 Flows,"203,177",0.63,0.628,2.0,-4.016,1.0,0.327,0.0515,0.0,0.091,0.266,121.307,spotify:track:7sLDnUauivS2vN6Z9EfUJT,282667.0,5.0,10.0
41044,55,2017-07-28,Thomas Rhett,Unforgettable,"366,256",0.6609999999999999,0.75,7.0,-5.497000000000001,1.0,0.0314,0.0303,0.000132,0.0849,0.828,130.077,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,157080.0,4.0,268.0
41045,56,2017-07-28,Skrillex,Would You Ever,"363,485",0.653,0.91,10.0,-3.36,1.0,0.0566,0.0079,0.0,0.318,0.0921,126.04700000000001,spotify:track:57p8CBvPOxrvyCbn6ttl5r,234286.0,4.0,71.0
41050,61,2017-07-28,Kesha,Learn To Let Go,"343,025",0.515,0.847,5.0,-2.951,1.0,0.039,0.0036899999999999997,6.659999999999999e-05,0.293,0.645,168.104,spotify:track:1g1TeDflB6atAy7HKwrzXu,217547.0,4.0,19.0
41063,74,2017-07-28,Charli XCX,Boys,"319,728",0.867,0.545,2.0,-5.192,1.0,0.0625,0.0646,0.00028900000000000003,0.0505,0.525,139.94299999999998,spotify:track:5o4yGlG0PfeVUa6ClIyOxq,162586.0,4.0,8.0
41074,85,2017-07-28,Future,You Da Baddest (feat. Nicki Minaj),"288,365",0.807,0.736,7.0,-6.747999999999999,1.0,0.151,0.109,0.0072900000000000005,0.10400000000000001,0.54,154.023,spotify:track:4AFgK4wP1iD5i8BYaLr9Vf,242933.0,4.0,10.0
41082,93,2017-07-28,Julia Michaels,Worst In Me,"269,151",0.648,0.616,6.0,-7.82,1.0,0.0606,0.105,0.0,0.161,0.275,105.985,spotify:track:1FY8gDAydm8CfGYp7Lv9ce,202347.0,4.0,1.0
41098,109,2017-07-28,Macklemore,Marmalade (feat. Lil Yachty),"242,922",0.922,0.583,5.0,-4.982,1.0,0.0753,0.0098,0.0,0.0962,0.494,136.043,spotify:track:7bsnTsbiwOymZWjPF9v6Di,261615.0,4.0,47.0
41119,130,2017-07-28,The Killers,Run For Cover,"214,874",0.466,0.951,5.0,-3.315,1.0,0.126,0.0016,0.00242,0.35100000000000003,0.499,165.108,spotify:track:5NAiPIEzxAexFE3ucV18Q8,222147.0,4.0,1.0
41124,135,2017-07-28,Snakehips,Either Way (feat. Joey Bada$$),"209,400",0.635,0.659,8.0,-4.92,1.0,0.155,0.309,0.0,0.302,0.54,178.018,spotify:track:3nodtPfXcok53E8Uze8gvD,187589.0,4.0,1.0
41128,139,2017-07-28,Aminé,Spice Girl,"205,671",0.693,0.46399999999999997,0.0,-7.912000000000001,0.0,0.22399999999999998,0.391,0.0,0.157,0.868,78.1,spotify:track:4HW5kSQ8M2IQWZhSxERvla,173947.0,4.0,6.0
41150,161,2017-07-28,Sabrina Carpenter,Why,"188,028",0.633,0.557,11.0,-4.917,0.0,0.203,0.16899999999999998,0.0,0.0671,0.623,89.67200000000001,spotify:track:1byScELwcJffsdL5QWa6Yk,171096.0,4.0,67.0
41151,162,2017-07-28,blackbear,do re mi (feat. Gucci Mane),"187,858",0.746,0.647,8.0,-6.388,1.0,0.052000000000000005,0.006999999999999999,0.0,0.156,0.196,112.015,spotify:track:53mrVsi49rLHIaKBiSvElG,233705.0,3.0,130.0
41181,192,2017-07-28,Dimitri Vegas & Like Mike,Complicated (feat. Kiiara),"169,975",0.6779999999999999,0.8190000000000001,8.0,-3.306,1.0,0.0313,0.191,0.0,0.159,0.499,90.00399999999999,spotify:track:1Sl3njkhhz8nrSPZroDQ82,184248.0,4.0,1.0
41775,186,2017-07-31,Cole Swindell,Flatliner,"158,231",0.555,0.8959999999999999,0.0,-3.295,1.0,0.0388,0.00434,0.0,0.145,0.578,114.995,spotify:track:0WyFpxYlBCgH1gMXd26OOr,177067.0,4.0,10.0
42439,50,2017-08-04,Rae Sremmurd,Perplexing Pegasus,"445,999",0.899,0.44799999999999995,1.0,-8.789,1.0,0.0738,0.000692,2.36e-05,0.365,0.302,145.975,spotify:track:1ung2kajpw24AaHjBtPY3j,204787.0,4.0,126.0
42447,58,2017-08-04,Camila Cabello,OMG (feat. Quavo),"339,850",0.655,0.5760000000000001,5.0,-6.735,0.0,0.0536,0.0295,0.115,0.132,0.16699999999999998,139.953,spotify:track:4xBjsLUSjcx2h7PcRikpQp,228893.0,4.0,70.0
42453,64,2017-08-04,The Weeknd,Reminder - Remix,"319,840",0.7509999999999999,0.654,0.0,-5.665,0.0,0.20600000000000002,0.153,0.0,0.10400000000000001,0.527,160.035,spotify:track:7F1LWA9sIlTorHUo4amGqk,221968.0,4.0,24.0
42471,82,2017-08-04,G-Eazy,Nothing Wrong,"280,177",0.621,0.6729999999999999,2.0,-7.518,1.0,0.361,0.0963,0.0,0.306,0.276,80.471,spotify:track:7JnQmMIjTZzCptaor4FYLy,268193.0,4.0,1.0
42489,100,2017-08-04,Kesha,Hymn,"246,438",0.488,0.5379999999999999,6.0,-4.974,1.0,0.076,0.147,0.0,0.305,0.38,67.03699999999999,spotify:track:1JuChOEPH0Rceq573FGQSK,205600.0,4.0,9.0
42516,127,2017-08-04,Ugly God,No Lies (feat. Wiz Khalifa),"215,760",0.805,0.429,1.0,-11.902000000000001,1.0,0.182,0.302,4.8599999999999995e-05,0.0962,0.332,77.488,spotify:track:6ki9xXYU55ZSIU5DiFuIRT,187571.0,4.0,2.0
42520,131,2017-08-04,Ugly God,Welcome to the Booty Tape,"212,274",0.557,0.312,9.0,-15.003,1.0,0.27699999999999997,0.48,3.9500000000000005e-05,0.124,0.0748,89.484,spotify:track:03Mradtcg4Il4gUQJ9LC9V,141642.0,5.0,2.0
42533,144,2017-08-04,Ugly God,Stop Smoking Black & Milds,"196,790",0.813,0.366,5.0,-10.53,0.0,0.337,0.0603,0.0,0.0864,0.184,77.531,spotify:track:3MMwcrgTCJ7bOAIScTyXFk,115922.0,4.0,6.0
42538,149,2017-08-04,Bebe Rexha,That's It (feat. Gucci Mane & 2 Chainz),"194,798",0.7829999999999999,0.361,0.0,-7.949,0.0,0.1,0.0474,0.00762,0.0861,0.413,75.0,spotify:track:3w9mof4ZxG3z9huYwHFZ1i,207090.0,4.0,1.0
42542,153,2017-08-04,Hazers,Changes,"191,964",0.49,0.601,1.0,-6.131,1.0,0.196,0.00665,1.81e-06,0.0907,0.245,98.96600000000001,spotify:track:4wPZ9kNZQZ6el6IcYTyhF6,204878.0,4.0,1.0
42545,156,2017-08-04,Brett Eldredge,Somethin' I'm Good At,"191,581",0.574,0.937,5.0,-4.34,1.0,0.11199999999999999,0.0453,0.0,0.242,0.446,103.006,spotify:track:6DRsEO5yuEGBF87qpyMB4d,217333.0,4.0,5.0
42555,166,2017-08-04,Ugly God,Fuck Ugly God,"181,208",0.878,0.233,5.0,-11.311,0.0,0.603,0.242,0.0,0.0817,0.135,134.95600000000002,spotify:track:6IgtGf4ZmG3OPLmE1PFXrr,128669.0,4.0,2.0
42562,173,2017-08-04,R3HAB,Killing Time,"178,188",0.47700000000000004,0.581,10.0,-7.555,0.0,0.11699999999999999,0.45399999999999996,1.59e-06,0.196,0.171,110.04899999999999,spotify:track:5XVO2yXESFgE9og4IwrILf,193143.0,4.0,1.0
42585,196,2017-08-04,Brett Eldredge,No Stopping You,"165,390",0.568,0.508,9.0,-7.73,1.0,0.0338,0.742,3.02e-05,0.10099999999999999,0.188,75.07300000000001,spotify:track:569dtdMw7TOS8E4qMCNRtP,221827.0,4.0,1.0
42781,192,2017-08-05,Camila Cabello,Havana,"154,725",0.765,0.523,2.0,-4.333,1.0,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,spotify:track:1rfofaqEpACxVEHIZBJe6W,217307.0,4.0,484.0
43344,155,2017-08-08,Gucci Mane,Dance with the Devil,"179,267",0.77,0.478,7.0,-5.937,1.0,0.237,0.0727,3.52e-05,0.11199999999999999,0.19399999999999998,174.102,spotify:track:6RFGykMl5wP1gMPccCY9oB,264957.0,4.0,9.0
43810,21,2017-08-11,Marshmello,Silence,"640,952",0.52,0.7609999999999999,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.28600000000000003,141.971,spotify:track:7vGuf3Y35N4wmASOKLUVVU,180823.0,4.0,468.0
43842,53,2017-08-11,Avicii,Lonely Together (feat. Rita Ora),"411,033",0.655,0.6659999999999999,5.0,-5.309,1.0,0.0612,0.134,2.12e-05,0.0683,0.272,102.977,spotify:track:75NhhYjHO43mvZgYtnXgti,181812.0,4.0,132.0
43848,59,2017-08-11,Kesha,Let 'Em Talk (feat. Eagles of Death Metal),"356,120",0.479,0.929,9.0,-3.4610000000000003,1.0,0.141,0.0357,0.125,0.14800000000000002,0.606,179.912,spotify:track:1nxufatvWIGPPBtPACXzu8,185813.0,4.0,2.0
43850,61,2017-08-11,Avicii,Without You (feat. Sandro Cavazza),"335,455",0.662,0.858,2.0,-4.843999999999999,1.0,0.0428,0.0016300000000000002,0.0,0.0456,0.295,133.993,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,181673.0,4.0,67.0
43851,62,2017-08-11,P!nk,What About Us,"334,209",0.489,0.588,1.0,-6.1770000000000005,1.0,0.0507,0.0285,2.11e-06,0.0906,0.187,113.617,spotify:track:0Qh38w01QRXK6KHIv0e3hb,269600.0,4.0,105.0
43870,81,2017-08-11,Fifth Harmony,Angel,"285,623",0.738,0.525,1.0,-6.297999999999999,0.0,0.0371,0.00339,0.0,0.35100000000000003,0.13,124.008,spotify:track:3YB3dT8zhaBxDTXlggRqh6,189440.0,4.0,2.0
43885,96,2017-08-11,HAIM,Little Of Your Love - BloodPop® Remix,"266,945",0.6559999999999999,0.855,1.0,-3.0869999999999997,0.0,0.0582,0.14300000000000002,0.0,0.33299999999999996,0.504,112.04700000000001,spotify:track:67M8Sg4R7bEidOf0cag0Ld,204680.0,4.0,1.0
43898,109,2017-08-11,Wiz Khalifa,Something New (feat. Ty Dolla $ign),"248,814",0.8140000000000001,0.635,7.0,-6.609,0.0,0.0809,0.0935,0.0,0.0892,0.784,87.581,spotify:track:6u8hSdYZxbK5EczDPRIXXf,200774.0,4.0,7.0
43927,138,2017-08-11,Kesha,Rainbow,"207,790",0.622,0.39299999999999996,0.0,-6.269,1.0,0.0281,0.693,0.0,0.124,0.5479999999999999,120.111,spotify:track:2Tuc96S4JToUiQSLW3aMec,218640.0,4.0,4.0
43931,142,2017-08-11,Kesha,Bastards,"206,166",0.498,0.33899999999999997,7.0,-9.047,1.0,0.0281,0.17300000000000001,0.0,0.1,0.305,78.899,spotify:track:318EGw5ZZB8U5MdMWQwxZQ,231360.0,4.0,1.0
43937,148,2017-08-11,Thomas Rhett,Sixteen,"199,767",0.705,0.531,1.0,-7.031000000000001,1.0,0.0281,0.0135,2.11e-06,0.165,0.425,107.01299999999999,spotify:track:3pJkBPHadRAxBBo484RipI,178333.0,4.0,6.0
43942,153,2017-08-11,Bebe Rexha,(Not) The One,"195,340",0.61,0.731,8.0,-5.187,1.0,0.11599999999999999,0.0281,0.0,0.272,0.7240000000000001,97.935,spotify:track:22BH6K8RlpwNzIINvWS4Jj,181674.0,4.0,1.0
43961,172,2017-08-11,A$AP Ferg,Nasty (Who Dat) (feat. Migos),"178,300",0.6609999999999999,0.636,4.0,-4.551,0.0,0.11800000000000001,0.0203,2.25e-05,0.37799999999999995,0.428,179.041,spotify:track:76T8y91xMLWJgfsEsmWGxW,209813.0,4.0,2.0
43968,179,2017-08-11,Kesha,Finding You,"175,397",0.40399999999999997,0.738,7.0,-3.985,1.0,0.0562,0.14,4.6700000000000003e-05,0.133,0.36700000000000005,199.66099999999997,spotify:track:1Himp3M7IH46qw2yBN1Fxy,172773.0,4.0,1.0
43985,196,2017-08-11,Kesha,Hunt You Down,"164,754",0.584,0.946,7.0,-3.576,0.0,0.11900000000000001,0.0671,0.0,0.0863,0.395,105.906,spotify:track:5HJ2psjlq5wyxtUA43Ylgy,197893.0,4.0,1.0
44376,187,2017-08-13,Tay-K,The Race,"144,595",0.7659999999999999,0.606,9.0,-6.064,1.0,0.456,0.00266,0.0,0.166,0.35200000000000004,160.22299999999998,spotify:track:3wGXyJGsCf1myH5MooQIqE,140000.0,4.0,221.0
44767,178,2017-08-15,Luke Combs,When It Rains It Pours,"164,977",0.551,0.8009999999999999,6.0,-5.069,1.0,0.0303,0.013000000000000001,6.03e-06,0.265,0.625,128.02700000000002,spotify:track:1mMLMZYXkMueg65jRRWG1l,240760.0,4.0,339.0
44789,200,2017-08-15,DeJ Loaf,No Fear,"152,420",0.614,0.682,11.0,-4.117,0.0,0.102,0.387,0.0,0.134,0.5660000000000001,100.20200000000001,spotify:track:2H881m3JRA8lpuuwaQL6zy,169853.0,4.0,1.0
45039,50,2017-08-17,Justin Bieber,Friends (with BloodPop®),"442,169",0.743,0.733,8.0,-5.337000000000001,1.0,0.0375,0.00402,0.0,0.304,0.622,104.977,spotify:track:7iNIg7XDEaYECfWD5dJ9Va,189467.0,4.0,101.0
45177,188,2017-08-17,Shaggy,It Wasn't Me,"160,739",0.852,0.604,0.0,-4.569,1.0,0.0642,0.0503,0.0,0.327,0.667,94.762,spotify:track:0OaunKfsxkgBvPv68jBbmm,227547.0,4.0,4.0
45240,51,2017-08-18,Chris Brown,Questions,"407,975",0.614,0.598,10.0,-6.335,0.0,0.0561,0.00543,0.0,0.1,0.565,105.803,spotify:track:5XQMr19TL7Mfksq9zihbOu,129478.0,4.0,102.0
45254,65,2017-08-18,Gucci Mane,I Get The Bag (feat. Migos),"317,037",0.89,0.633,11.0,-5.475,1.0,0.168,0.0232,0.000343,0.0993,0.425,139.94799999999998,spotify:track:1XRgIKC5TPwo7nWGyKqgG0,233087.0,4.0,335.0
45257,68,2017-08-18,Miley Cyrus,Younger Now,"315,285",0.5479999999999999,0.873,4.0,-4.881,1.0,0.0618,0.0012900000000000001,4.55e-05,0.138,0.32799999999999996,121.91799999999999,spotify:track:2fGxYYMQbVqgIdaqfz2OwA,248773.0,4.0,7.0
45266,77,2017-08-18,Thomas Rhett,Grave,"294,811",0.5489999999999999,0.622,5.0,-5.504,1.0,0.0289,0.0438,0.0,0.166,0.555,141.804,spotify:track:0rpwb2kLgS6KAZsostOj1O,193680.0,4.0,2.0
45311,122,2017-08-18,Kodak Black,Roll In Peace (feat. XXXTENTACION),"226,236",0.747,0.524,10.0,-6.807,0.0,0.245,0.0306,0.0,0.2,0.363,140.053,spotify:track:40oKW22ZNNkEdZLJTScaQI,213132.0,4.0,518.0
45359,170,2017-08-18,A$AP Ferg,Trap And A Dream (feat. Meek Mill),"180,202",0.611,0.804,1.0,-5.632999999999999,1.0,0.276,0.040999999999999995,0.0,0.418,0.374,162.08700000000002,spotify:track:7gbs274CmEorDmQuOYzaud,189667.0,4.0,1.0
45362,173,2017-08-18,CNCO,Reggaetón Lento (Remix),"178,830",0.534,0.9109999999999999,4.0,-3.0860000000000003,0.0,0.0852,0.15,0.0,0.0986,0.624,93.76700000000001,spotify:track:58gqyeFXhOttZW3yetJGPN,188800.0,4.0,84.0
45367,178,2017-08-18,A R I Z O N A,"Cross My Mind, Pt. 2 (feat. Kiiara)","176,869",0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.8299999999999994e-05,0.161,0.429,93.009,spotify:track:6JsfvqClYnc2R5yZ67C2ch,217793.0,4.0,1.0
45374,185,2017-08-18,ZHU,Dreams,"170,557",0.521,0.55,1.0,-6.222,1.0,0.0709,0.0029,0.171,0.0955,0.0391,184.018,spotify:track:66MGk6BwVMx5O1TJqDAX4Y,268044.0,4.0,1.0
45378,189,2017-08-18,Lil Pump,Boss,"169,200",0.8029999999999999,0.789,10.0,-3.4339999999999997,0.0,0.0383,0.0304,0.0,0.37799999999999995,0.647,119.999,spotify:track:1rsAFUCa6BVMgRQ3FCQQsi,106021.0,4.0,114.0
45388,199,2017-08-18,Lil Pump,D Rose,"163,524",0.7809999999999999,0.5529999999999999,0.0,-4.277,1.0,0.0735,0.201,0.000233,0.38299999999999995,0.308,121.96799999999999,spotify:track:1fEl5TPKRJAsuP6TqZ23hB,135497.0,4.0,87.0
45499,110,2017-08-19,Kodak Black,Built My Legacy (feat. Offset),"231,044",0.858,0.598,1.0,-4.961,1.0,0.311,0.255,0.0,0.0869,0.696,147.945,spotify:track:7Jd3almoehzurMOYuy2eIE,184271.0,4.0,6.0
45574,185,2017-08-19,Kodak Black,Versatile,"160,068",0.537,0.7509999999999999,8.0,-4.082,1.0,0.33799999999999997,0.14,0.0,0.20600000000000002,0.308,70.475,spotify:track:5R0gQ30puwU1ffBH6ccEwq,418628.0,3.0,1.0
45785,196,2017-08-20,Kodak Black,Transportin',"144,958",0.804,0.66,10.0,-4.86,0.0,0.0726,0.0319,0.0,0.10300000000000001,0.257,94.053,spotify:track:1WIZiOuNO3woKfdlSK2gNn,169345.0,4.0,209.0
45852,63,2017-08-21,Bonnie Tyler,Total Eclipse of The Heart,"302,026",0.431,0.723,8.0,-5.8870000000000005,1.0,0.055999999999999994,0.145,0.0,0.375,0.18899999999999997,130.547,spotify:track:7wuJGgpTNzbUyn26IOY6rj,267360.0,4.0,1.0
46558,169,2017-08-24,Imagine Dragons,Radioactive,"178,307",0.44799999999999995,0.784,9.0,-3.6860000000000004,1.0,0.0627,0.106,0.00010800000000000001,0.6679999999999999,0.23600000000000002,136.245,spotify:track:4G8gkOterJn0Ywt6uhqbhp,186813.0,4.0,1.0
46588,199,2017-08-24,J Balvin,Bonita,"158,543",0.775,0.867,5.0,-1.5819999999999999,0.0,0.0414,0.0132,0.006840000000000001,0.278,0.8690000000000001,96.038,spotify:track:0atfY1ew83Ql9nNnJiD2t5,265747.0,4.0,1.0
46590,1,2017-08-25,Taylor Swift,Look What You Made Me Do,"3,828,478",0.7659999999999999,0.7090000000000001,9.0,-6.471,0.0,0.12300000000000001,0.204,1.4099999999999999e-05,0.126,0.506,128.07,spotify:track:1P17dC1amhFzptugyAO7Il,211853.0,4.0,163.0
46593,4,2017-08-25,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),"1,232,419",0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,221747.0,4.0,495.0
46595,6,2017-08-25,Lil Uzi Vert,Sauce It Up,"1,051,878",0.813,0.528,6.0,-6.305,0.0,0.313,0.0715,0.0,0.125,0.131,79.532,spotify:track:1uL78kFWxhz3umTMWJu8n5,207039.0,4.0,238.0
46596,7,2017-08-25,Lil Uzi Vert,444+222,"1,025,561",0.7909999999999999,0.513,10.0,-6.568,0.0,0.26899999999999996,0.0235,2.8300000000000003e-05,0.10099999999999999,0.48100000000000004,76.997,spotify:track:1QgTBfRN5m81a5K01qens6,247347.0,4.0,43.0
46598,9,2017-08-25,Lil Uzi Vert,Two®,"997,179",0.773,0.75,8.0,-4.0089999999999995,0.0,0.11699999999999999,0.109,0.0,0.174,0.7829999999999999,123.426,spotify:track:0uxSUdBrJy9Un0EYoBowng,220587.0,4.0,134.0
46602,13,2017-08-25,XXXTENTACION,Jocelyn Flores,"905,112",0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.43700000000000006,134.02100000000002,spotify:track:7m9OqQk4RVRkw9JJdeAw96,119133.0,4.0,960.0
46606,17,2017-08-25,XXXTENTACION,Fuck Love (feat. Trippie Redd),"868,118",0.797,0.5329999999999999,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.10300000000000001,0.32899999999999996,131.036,spotify:track:7AQim7LbvFVZJE3O8TYgf2,146520.0,4.0,937.0
46608,19,2017-08-25,Lil Uzi Vert,For Real,"821,064",0.902,0.6729999999999999,4.0,-7.481,1.0,0.45799999999999996,0.159,0.0,0.289,0.615,132.066,spotify:track:3tcoEYOZUHKB3RKNByIN13,177048.0,4.0,19.0
46613,24,2017-08-25,Lil Uzi Vert,No Sleep Leak,"790,005",0.7879999999999999,0.6890000000000001,8.0,-7.211,1.0,0.13,0.0112,0.0,0.22,0.6809999999999999,136.045,spotify:track:0QV16pno66L6K3fn4W13b7,189230.0,4.0,15.0
46616,27,2017-08-25,Lil Uzi Vert,UnFazed (feat. The Weeknd),"749,551",0.778,0.7070000000000001,4.0,-3.6060000000000003,0.0,0.0746,0.0459,0.0,0.111,0.45799999999999996,126.684,spotify:track:5O8x1YlmLQopQHErxtDfi9,190355.0,4.0,27.0
46617,28,2017-08-25,XXXTENTACION,Everybody Dies In Their Nightmares,"739,213",0.7340000000000001,0.57,7.0,-7.066,0.0,0.133,0.847,2.14e-05,0.11199999999999999,0.6890000000000001,129.953,spotify:track:3GVkPk8mqxz0itaAriG1L7,95467.0,4.0,606.0
46621,32,2017-08-25,Lil Uzi Vert,Feelings Mutual,"683,398",0.585,0.691,0.0,-6.015,1.0,0.259,0.105,0.0,0.08800000000000001,0.349,125.978,spotify:track:5Y3Tj0wJhKAaPbwWxXxZGS,233645.0,4.0,14.0
46623,34,2017-08-25,Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),"676,305",0.8590000000000001,0.563,1.0,-6.635,0.0,0.11199999999999999,0.0541,0.0,0.0685,0.41200000000000003,119.934,spotify:track:1MJErNPIQUoEMu4YUUmecm,258789.0,4.0,41.0
46626,37,2017-08-25,XXXTENTACION,Revenge,"664,009",0.746,0.251,11.0,-16.169,0.0,0.259,0.782,0.00203,0.106,0.18,139.999,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,120027.0,4.0,106.0
46627,38,2017-08-25,XXXTENTACION,Depression & Obsession,"643,291",0.769,0.156,11.0,-10.7,0.0,0.035,0.585,0.015,0.102,0.527,105.95,spotify:track:2H3wWrnO758y0fPH7Ilerg,144733.0,4.0,47.0
