peak_rank,median_rank,days,peak_streams,median_streams,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
14.0,117.0,766.0,653515.0,255453.0,James Arthur,Say You Won't Let Go,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.04299999999998,spotify:track:5uCax9HTNlzGybIStD3vDh,211467.0,4.0
28.0,123.5,84.0,467668.0,223545.0,The Chainsmokers,All We Know (feat. Phoebe Ryan),0.662,0.586,0.0,-8.821,1.0,0.0307,0.097,0.00272,0.115,0.29600000000000004,90.0,spotify:track:2rizacJSyD9S1IQUxUxnsK,194080.0,4.0
39.0,103.0,341.0,380130.0,244773.0,Young Thug,pick up the phone,0.711,0.7390000000000001,7.0,-3.804,0.0,0.129,0.114,0.0,0.226,0.43,136.91899999999998,spotify:track:20dP2DaMHIAmwWAbp7peSr,252256.0,4.0
2.0,72.0,493.0,1299465.0,337091.0,KYLE,iSpy (feat. Lil Yachty),0.746,0.653,7.0,-6.745,1.0,0.289,0.378,0.0,0.229,0.672,75.016,spotify:track:2EEeOnHehOozLq4aS0n6SL,253107.0,4.0
41.0,131.0,35.0,376934.0,183634.0,Sia,Cheap Thrills,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,spotify:track:3S4px9f4lceWdKf0gWciFu,211667.0,4.0
42.0,144.0,164.0,344210.0,211812.0,Rihanna,Needed Me,0.6709999999999999,0.314,5.0,-8.091000000000001,0.0,0.244,0.11,0.0,0.0825,0.29600000000000004,110.898,spotify:track:4pAl7FkDMNBsjykPXo91B3,191600.0,4.0
44.0,162.0,196.0,332310.0,195301.0,Desiigner,Panda,0.685,0.731,10.0,-5.502999999999999,0.0,0.414,0.0292,0.0,0.369,0.266,145.245,spotify:track:275a9yzwGB6ncAW4SxY7q3,247867.0,4.0
30.0,129.5,116.0,426331.0,222893.0,Alessia Cara,Scars To Your Beautiful,0.573,0.7390000000000001,0.0,-5.74,1.0,0.129,0.0285,0.0,0.111,0.451,97.085,spotify:track:0prNGof3XqfTvNDxHonvdK,230227.0,4.0
27.0,119.0,125.0,446052.0,229082.0,Shawn Mendes,Mercy,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.35600000000000004,148.128,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0
36.0,131.0,268.0,378035.0,214254.0,J. Cole,Neighbors,0.898,0.28300000000000003,6.0,-12.335,0.0,0.35600000000000004,0.319,0.000383,0.11,0.469,138.97,spotify:track:0utlOiJy2weVl9WTkcEWHy,216520.0,4.0
48.0,156.0,81.0,316050.0,187170.0,Rihanna,Work,0.725,0.534,11.0,-6.238,1.0,0.0946,0.0752,0.0,0.0919,0.5579999999999999,91.974,spotify:track:72TFWvU3wUYdUuxejTTIzt,219320.0,4.0
21.0,64.0,354.0,681122.0,326625.0,Rae Sremmurd,Swang,0.6809999999999999,0.314,8.0,-9.319,1.0,0.0581,0.2,9.82e-06,0.1,0.166,139.99200000000002,spotify:track:6mapJIPnQ23RTAevUoE0DL,208120.0,4.0
39.0,80.0,77.0,400908.0,285176.0,The Weeknd,Six Feet Under,0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,spotify:track:4mU5iXHeLgbR94siF7p1sY,237573.0,4.0
53.0,175.5,36.0,302383.0,156568.0,Adele,Send My Love (To Your New Lover),0.69,0.524,6.0,-8.39,0.0,0.103,0.0415,3.16e-06,0.17,0.562,164.023,spotify:track:4BHzQ9C00ceJxfG16AlNWb,223080.0,4.0
32.0,53.0,71.0,430860.0,340362.0,John Legend,Love Me Now,0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889,spotify:track:6nxQdXa1uAL0rY72wPZu89,210293.0,4.0
55.0,171.5,42.0,300179.0,161021.0,Justin Bieber,Love Yourself,0.609,0.378,4.0,-9.828,1.0,0.438,0.835,0.0,0.28,0.515,100.418,spotify:track:50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0
56.0,128.0,35.0,299010.0,191151.0,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,spotify:track:1lItf5ZXJc1by9SbPeljFd,144244.0,4.0
57.0,143.0,121.0,297396.0,203290.0,Drake,Jumpman,0.852,0.5529999999999999,1.0,-7.286,1.0,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879.0,4.0
43.0,93.0,71.0,373087.0,262695.0,The Weeknd,Sidewalks,0.542,0.72,1.0,-5.136,0.0,0.0628,0.147,0.0,0.348,0.623,149.828,spotify:track:4h90qkbnW1Qq6pBhoPvwko,231360.0,4.0
59.0,92.0,5.0,372515.0,264426.0,The Jackson 5,I Want You Back,0.469,0.5379999999999999,8.0,-13.559,1.0,0.0571,0.305,0.00012,0.37,0.8859999999999999,196.605,spotify:track:5LxvwujISqiB8vpRYv887S,176333.0,4.0
60.0,159.0,3.0,282236.0,150209.0,DNCE,Cake By The Ocean,0.774,0.753,4.0,-5.445,0.0,0.0517,0.153,0.0,0.0371,0.8959999999999999,119.002,spotify:track:76hfruVvmfQbw0eYn1nmeC,219147.0,4.0
61.0,116.0,277.0,349433.0,236628.0,Future,Low Life (feat. The Weeknd),0.722,0.331,8.0,-7.789,1.0,0.0725,0.337,0.28300000000000003,0.146,0.102,143.974,spotify:track:7EiZI6JVHllARrX9PUvAdX,313547.0,4.0
16.0,108.0,1177.0,783729.0,300677.0,Travis Scott,goosebumps,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,spotify:track:6gBFPUFcJLzWGx4lenP6h2,243837.0,4.0
8.0,63.0,572.0,952412.0,360672.5,Childish Gambino,Redbone,0.743,0.34700000000000003,1.0,-11.174,1.0,0.121,0.16699999999999998,0.00951,0.103,0.5720000000000001,160.143,spotify:track:0wXuerDYiBnERgIpbb3JBR,326933.0,4.0
31.0,55.0,79.0,431233.0,339229.0,Steve Aoki,Just Hold On,0.647,0.932,11.0,-3.517,1.0,0.083,0.00377,1.69e-06,0.0574,0.387,115.0,spotify:track:508oFmt92FyICj6pZiWQwC,198774.0,4.0
65.0,78.0,4.0,319582.0,291161.0,Michael Jackson,Billie Jean,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,spotify:track:5ChkMS8OtdzJeqyybCc9R5,293827.0,4.0
26.0,84.0,183.0,493031.0,295815.0,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,9.0,-4.0680000000000005,0.0,0.0523,0.406,0.0,0.18,0.742,101.965,spotify:track:5knuzwU65gJK7IF5yJsuaW,251088.0,4.0
48.0,139.0,63.0,329574.0,198973.0,J. Cole,Immortal,0.7440000000000001,0.43,3.0,-10.604,0.0,0.309,0.455,2.73e-06,0.126,0.266,92.039,spotify:track:6AGON2BGdPmPMJGiiNuuwl,201667.0,4.0
50.0,159.5,182.0,539981.0,199366.5,Twenty One Pilots,Ride,0.645,0.713,6.0,-5.355,1.0,0.0393,0.00835,0.0,0.113,0.5660000000000001,74.98899999999998,spotify:track:2Z8WuEywRWYTKe1NybPQEW,214507.0,4.0
59.0,100.0,8.0,513783.0,247540.0,Marvin Gaye,Ain't No Mountain High Enough,0.6629999999999999,0.6,7.0,-10.87,1.0,0.032,0.43,0.0,0.184,0.8,129.991,spotify:track:7tqhbajSfrz2F7E1Z75ASX,151667.0,4.0
61.0,121.0,393.0,309609.0,229344.0,Lil Uzi Vert,Money Longer,0.795,0.568,5.0,-7.817,0.0,0.142,0.0541,0.0,0.108,0.478,136.173,spotify:track:0B8QzDH7YWih85V5SEMnyJ,198944.0,4.0
59.0,149.0,154.0,274065.0,204570.0,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.502,0.7859999999999999,9.0,-4.378,0.0,0.317,0.255,0.0,0.65,0.7390000000000001,169.021,spotify:track:4dASQiO1Eoo3RJvt74FtXB,243491.0,4.0
64.0,139.0,875.0,395456.0,232090.0,J. Cole,No Role Modelz,0.696,0.521,10.0,-8.465,0.0,0.332,0.302,0.0,0.0565,0.458,100.0,spotify:track:62vpWI1CHwFy7tMIcSStl8,292987.0,4.0
54.0,73.5,78.0,324324.0,268701.5,Future,Used to This (feat. Drake),0.618,0.727,3.0,-7.224,0.0,0.208,0.0312,0.0,0.196,0.401,164.99200000000005,spotify:track:3V8sM5OOG6YfDuDLa2IIYJ,180520.0,4.0
51.0,152.0,113.0,337603.0,198042.0,Shakira,Chantaje (feat. Maluma),0.852,0.773,8.0,-2.9210000000000003,0.0,0.0776,0.187,3.05e-05,0.159,0.907,102.034,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,195840.0,4.0
75.0,147.5,6.0,265140.0,228468.5,Foster The People,Pumped Up Kicks,0.733,0.71,5.0,-5.849,0.0,0.0292,0.145,0.115,0.0956,0.965,127.975,spotify:track:7w87IxuO7BDcJ3YUqCyMTT,239600.0,4.0
38.0,51.0,94.0,431750.0,354584.5,G-Eazy,Some Kind Of Drug (feat. Marc E. Bassy),0.586,0.525,0.0,-8.968,1.0,0.498,0.0705,0.0,0.0729,0.491,126.51,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,222467.0,4.0
77.0,110.0,50.0,243883.0,217476.5,DJ ESCO,Too Much Sauce (feat. Future & Lil Uzi Vert),0.96,0.547,6.0,-6.992000000000001,0.0,0.0786,0.0496,0.0,0.21600000000000005,0.18600000000000005,121.01,spotify:track:5oyUurs28XRagLa8lgm6V3,223093.0,4.0
46.0,75.5,64.0,355786.0,287003.5,Sage The Gemini,Now and Later,0.7809999999999999,0.57,11.0,-5.874,0.0,0.188,0.273,0.0,0.196,0.858,107.059,spotify:track:08WPvDEsHvTFuB9w8tC2OS,193181.0,4.0
79.0,170.0,89.0,233185.0,175443.0,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,0.6629999999999999,0.713,7.0,-6.647,0.0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,197933.0,4.0
80.0,80.0,1.0,233169.0,233169.0,Pharrell Williams,"Happy - From ""Despicable Me 2""",0.647,0.8220000000000001,5.0,-4.662,0.0,0.183,0.219,0.0,0.0908,0.962,160.019,spotify:track:60nZcImufyMA1MKQY3dcCH,232720.0,4.0
64.0,151.0,206.0,294006.0,190744.5,The Weeknd,Reminder,0.706,0.505,8.0,-6.922999999999999,1.0,0.193,0.142,0.0,0.16399999999999998,0.388,160.053,spotify:track:37F0uwRSrdzkBiuj0D5UHI,218880.0,4.0
16.0,58.0,152.0,570205.0,354153.0,Jon Bellion,All Time Low,0.617,0.5670000000000001,0.0,-4.188,1.0,0.0828,0.0584,0.0,0.0933,0.505,90.246,spotify:track:0SuLAslEMFZAXf0SwY7syi,217603.0,4.0
83.0,157.0,118.0,232348.0,187711.0,Lil Yachty,One Night,0.764,0.475,0.0,-12.618,1.0,0.114,0.345,0.0,0.14,0.34,129.974,spotify:track:40yJGQyEaBbIkXpwMFkXip,243270.0,4.0
84.0,158.0,3.0,227569.0,211588.0,M.I.A.,Paper Planes,0.447,0.848,2.0,-6.175,1.0,0.222,0.033,7.45e-05,0.722,0.485,172.247,spotify:track:1kusepF3AacIEtUTYrw4GV,203760.0,4.0
73.0,145.5,106.0,281957.0,197561.0,Twenty One Pilots,Stressed Out,0.7340000000000001,0.637,4.0,-5.6770000000000005,0.0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,202333.0,4.0
86.0,86.0,1.0,226512.0,226512.0,David Guetta,Titanium (feat. Sia),0.604,0.787,0.0,-3.674,0.0,0.103,0.0679,0.15,0.127,0.301,126.062,spotify:track:0lHAMNU8RGiIObScrsRgmP,245040.0,4.0
36.0,115.5,374.0,537813.0,288220.0,Queen,Bohemian Rhapsody - Remastered 2011,0.392,0.402,0.0,-9.961,0.0,0.0536,0.28800000000000003,0.0,0.243,0.228,143.88299999999995,spotify:track:7tFiyTwD0nx5a1eklYtX2J,354320.0,4.0
56.0,98.0,543.0,393624.0,262922.0,Post Malone,White Iverson,0.675,0.562,7.0,-7.678,1.0,0.0352,0.233,0.0,0.0816,0.309,130.09799999999998,spotify:track:6eT7xZZlB2mwyzJ2sUKG6w,256533.0,4.0
47.0,63.0,96.0,382157.0,317172.5,The Vamps,All Night,0.54,0.8029999999999999,8.0,-5.194,1.0,0.0358,0.00403,0.0,0.33,0.501,144.997,spotify:track:0dXNQ8dckG4eYfEtq9zcva,197640.0,4.0
71.0,87.0,33.0,273117.0,238978.0,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),0.49,0.625,10.0,-7.247999999999998,1.0,0.185,0.4970000000000001,0.0,0.118,0.748,78.762,spotify:track:5qYp1Wf3gh0lGWdIS5lIrX,215670.0,5.0
91.0,158.5,72.0,218501.0,179969.0,G-Eazy,"Me, Myself & I",0.757,0.672,0.0,-6.524,0.0,0.0955,0.0186,0.0,0.158,0.382,111.996,spotify:track:40YcuQysJ0KlGQTeGUosTC,251467.0,4.0
76.0,149.0,86.0,250722.0,195601.0,gnash,"i hate u, i love u (feat. olivia o'brien)",0.4920000000000001,0.275,6.0,-13.4,0.0,0.3,0.687,0.0,0.101,0.18,92.6,spotify:track:7vRriwrloYVaoAe3a9wJHe,251034.0,4.0
61.0,142.0,181.0,308940.0,210559.0,Kodak Black,Too Many Years,0.665,0.706,8.0,-6.859,0.0,0.0958,0.0237,0.0,0.112,0.632,147.067,spotify:track:7KyTq7H5f3Oavmuo9TX6QK,196336.0,4.0
35.0,94.0,227.0,537783.0,263731.0,Rihanna,Love On The Brain,0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.0800000000000003e-05,0.0789,0.378,172.00599999999997,spotify:track:5oO3drDxtziYU2H1X23ZIp,224000.0,3.0
63.0,145.5,26.0,265844.0,177976.5,J. Cole,Change,0.74,0.523,11.0,-10.753,0.0,0.233,0.6659999999999999,0.0014199999999999998,0.0968,0.235,97.063,spotify:track:3pjUyVbFmM96tYhSaKJwTt,331480.0,4.0
77.0,158.5,426.0,276791.0,204071.5,Bryson Tiller,Don't,0.765,0.35600000000000004,11.0,-5.556,0.0,0.196,0.222,0.0,0.0963,0.19,97.001,spotify:track:3pXF1nA74528Edde4of9CC,198293.0,4.0
56.0,94.0,136.0,328210.0,259651.5,Ugly God,Water,0.816,0.245,0.0,-15.617,0.0,0.414,0.616,0.000813,0.127,0.187,140.04,spotify:track:7EoSDrwBPUBeBEORrpvgko,138936.0,4.0
