rank,date,artist,title,max_streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
46,2017-01-01,Shawn Mendes,Mercy,446052,0.555,0.662,11.0,-4.952,0.0,0.0827,0.125,0.0,0.111,0.35600000000000004,148.128,spotify:track:0AS63m1wHv9n4VVRizK6Hc,208733.0,4.0
47,2017-01-01,J. Cole,Neighbors,378035,0.898,0.28300000000000003,6.0,-12.335,0.0,0.35600000000000004,0.319,0.000383,0.11,0.469,138.97,spotify:track:0utlOiJy2weVl9WTkcEWHy,216520.0,4.0
48,2017-01-01,Rihanna,Work,316050,0.725,0.534,11.0,-6.2379999999999995,1.0,0.0946,0.0752,0.0,0.0919,0.5579999999999999,91.97399999999999,spotify:track:72TFWvU3wUYdUuxejTTIzt,219320.0,4.0
50,2017-01-01,Rae Sremmurd,Swang,681122,0.6809999999999999,0.314,8.0,-9.318999999999999,1.0,0.0581,0.2,9.82e-06,0.1,0.166,139.99200000000002,spotify:track:6mapJIPnQ23RTAevUoE0DL,208120.0,4.0
51,2017-01-01,The Weeknd,Six Feet Under,400908,0.772,0.504,6.0,-8.219,0.0,0.0761,0.129,0.0,0.125,0.244,140.035,spotify:track:4mU5iXHeLgbR94siF7p1sY,237573.0,4.0
53,2017-01-01,Adele,Send My Love (To Your New Lover),302383,0.69,0.524,6.0,-8.39,0.0,0.10300000000000001,0.0415,3.16e-06,0.17,0.562,164.023,spotify:track:4BHzQ9C00ceJxfG16AlNWb,223080.0,4.0
54,2017-01-01,John Legend,Love Me Now,430860,0.488,0.762,8.0,-3.842,1.0,0.0865,0.591,0.0,0.0763,0.7090000000000001,123.889,spotify:track:6nxQdXa1uAL0rY72wPZu89,210293.0,4.0
55,2017-01-01,Justin Bieber,Love Yourself,300179,0.609,0.37799999999999995,4.0,-9.828,1.0,0.43799999999999994,0.835,0.0,0.28,0.515,100.41799999999999,spotify:track:50kpGaPAhYJ3sGmk6vplg0,233720.0,4.0
56,2017-01-01,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),299010,0.807,0.887,1.0,-3.892,1.0,0.275,0.00381,0.0,0.391,0.78,160.517,spotify:track:1lItf5ZXJc1by9SbPeljFd,144244.0,4.0
57,2017-01-01,Drake,Jumpman,297396,0.852,0.5529999999999999,1.0,-7.2860000000000005,1.0,0.187,0.0559,0.0,0.332,0.6559999999999999,142.079,spotify:track:27GmP9AWRs744SzKcpJsTZ,205879.0,4.0
