artist,days,median danceability,median energy,median loudness,median speechiness,median acousticness,median liveness,median valence,median tempo,pc1,pc2,cluster
Sage The Gemini,64.0,0.7809999999999999,0.57,-5.874,0.188,0.273,0.196,0.858,107.059,0.5233532039064208,0.14837742061155246,4
Mike Posner,92.0,0.7115,0.776,-4.5865,0.07669999999999999,0.188,0.09665,0.614,101.987,0.06313909650020362,-1.3365113207329677,2
Pharrell Williams,23.0,0.739,0.7675000000000001,-4.154,0.1385,0.2,0.07400000000000001,0.8260000000000001,146.06400000000002,0.09407519704740375,-1.7124691511521855,2
Jon Bellion,159.0,0.507,0.527,-7.47,0.0539,0.0677,0.1665,0.5680000000000001,115.758,-0.1084181889319013,0.19285549373322558,5
Lil Yachty,452.0,0.835,0.59,-6.982,0.273,0.105,0.129,0.322,131.077,-0.12912479839714078,-0.5094836696778874,5
M.I.A.,3.0,0.447,0.848,-6.175,0.222,0.033,0.722,0.485,172.247,6.214691673961652,4.489454141059369,0
David Guetta,219.0,0.6805000000000001,0.791,-4.3469999999999995,0.057800000000000004,0.051500000000000004,0.133,0.48050000000000004,126.02700000000002,0.6328563576825915,-1.2724107090899328,2
Queen,796.0,0.5670000000000001,0.65,-7.316,0.0565,0.28800000000000003,0.215,0.473,113.809,0.2781903969307314,0.7349971891953294,4
Post Malone,10513.0,0.652,0.653,-5.046,0.0555,0.215,0.131,0.331,130.218,-0.047951955059677254,-0.651870338236983,5
The Vamps,96.0,0.54,0.8029999999999999,-5.194,0.0358,0.00403,0.33,0.501,144.997,2.4463666461994915,0.6788320162232118,7
Cashmere Cat,150.0,0.46499999999999997,0.5625,-7.3065,0.10575000000000001,0.1775,0.112,0.32899999999999996,93.4695,-0.8162875831036386,-0.08618600643213271,5
gnash,86.0,0.49200000000000005,0.275,-13.4,0.3,0.687,0.10099999999999999,0.18,92.6,-3.080662809485367,2.227902351272965,3
Kodak Black,2721.0,0.7665,0.616,-6.022,0.2685,0.10579999999999999,0.1205,0.4545,139.02300000000002,0.027200356765979337,-0.7803252971854157,2
Bryson Tiller,1037.0,0.6495,0.5055000000000001,-7.6259999999999994,0.22100000000000003,0.115,0.12,0.42150000000000004,121.8075,-0.5716893223783998,-0.1745053164125296,5
Ugly God,148.0,0.813,0.312,-11.902000000000001,0.337,0.302,0.0962,0.184,89.484,-2.1197143278374835,0.9602043559015754,1
Daryl Hall & John Oates,51.0,0.6659999999999999,0.6829999999999999,-6.644,0.0552,0.461,0.0935,0.84,167.058,-0.6867754013534784,-0.5146661686989537,5
Flume,84.0,0.586,0.6399999999999999,-5.1085,0.06915,0.2715,0.14150000000000001,0.35750000000000004,126.55099999999999,-0.0745489837379835,-0.3735011233112657,5
Nevada,13.0,0.711,0.882,-4.276,0.0576,0.0626,0.226,0.56,106.01700000000001,1.6987233703758624,-0.570486761592634,4
Kiiara,81.0,0.748,0.479,-6.968500000000001,0.11095,0.38249999999999995,0.11900000000000001,0.5405,110.543,-0.9001377653553747,0.0317672449717631,5
Macklemore & Ryan Lewis,8.0,0.7109999999999999,0.724,-5.721,0.1858,0.0455,0.06595,0.7545,120.535,-0.15158963061689756,-1.5805893177757453,2
PnB Rock,518.0,0.703,0.642,-5.84,0.0729,0.114,0.114,0.374,141.903,-0.14819297646638743,-0.8671643246207219,5
AJR,307.0,0.648,0.639,-4.938,0.0507,0.0465,0.161,0.698,139.918,0.632230442730165,-0.7246896513580504,2
PARTYNEXTDOOR,243.0,0.683,0.48050000000000004,-7.7965,0.05655,0.22549999999999998,0.105,0.405,113.6425,-1.0557036354315137,-0.11600105789482046,5
The Beatles,3.0,0.5195000000000001,0.6945000000000001,-9.841000000000001,0.03995,0.33744999999999997,0.11019999999999999,0.6655,126.901,-1.0585000760839252,0.25655413024674256,1
Noah Cyrus,284.0,0.664,0.47100000000000003,-7.287000000000001,0.0422,0.5920000000000001,0.0779,0.209,119.973,-1.8552904039176827,0.17150582874176482,1
Kanye West,853.0,0.617,0.573,-5.672999999999999,0.136,0.12300000000000001,0.187,0.39299999999999996,98.008,0.381714929432041,0.03273873022153556,4
fun.,2.0,0.37799999999999995,0.638,-5.5760000000000005,0.075,0.02,0.0849,0.735,184.08599999999998,-0.1742498776218858,-1.155467208458027,2
Aretha Franklin,16.0,0.65,0.473,-10.817,0.0389,0.249,0.0803,0.629,110.962,-1.768478804050115,0.26676880320674595,1
Meek Mill,821.0,0.6675,0.7020000000000001,-5.287,0.2395,0.053599999999999995,0.1775,0.34450000000000003,95.047,0.7461621868288469,-0.437405521463184,4
Charlie Puth,645.0,0.7490000000000001,0.604,-5.6579999999999995,0.0778,0.314,0.111,0.632,114.96600000000001,-0.41701680675204017,-0.6108440851225734,5
Stevie Wonder,27.0,0.633,0.6940000000000001,-8.552999999999999,0.0338,0.038,0.0805,0.813,100.499,-0.6533846666097992,-0.8191926958664876,5
MadeinTYO,299.0,0.831,0.47,-7.48,0.28,0.0371,0.14400000000000002,0.299,139.951,-0.1785585048836548,-0.21284824612329345,5
Petit Biscuit,87.0,0.7829999999999999,0.467,-9.474,0.0503,0.7290000000000001,0.109,0.23600000000000002,90.838,-2.096114039452631,1.018378705908721,1
Paul Simon,3.0,0.701,0.7895,-9.3585,0.09175,0.2095,0.0905,0.8089999999999999,116.88149999999999,-0.6673117228706226,-0.522799160292147,5
AC/DC,9.0,0.5525,0.84,-5.151,0.0947,0.030985,0.273,0.5885,121.53800000000001,1.9728977746962326,0.15855505950498378,4
Bee Gees,2.0,0.703,0.826,-7.178999999999999,0.0341,0.0322,0.179,0.945,103.564,0.8517832479617266,-0.48098027181597675,4
San Holo,53.0,0.57,0.763,-4.137,0.0573,0.0857,0.0932,0.43,150.088,0.15913739605573737,-1.5038496276199773,2
Van Morrison,6.0,0.491,0.583,-10.964,0.0376,0.182,0.40700000000000003,0.907,150.572,1.755620560286967,3.0307447794187885,6
Carly Rae Jepsen,3.0,0.71,0.633,-6.547000000000001,0.0408,0.0135,0.10800000000000001,0.648,120.021,-0.13722732184019712,-0.964455936587014,2
Flo Rida,96.0,0.7369999999999999,0.778,-4.5195,0.0511,0.047200000000000006,0.1535,0.7135,99.542,0.8541505299124967,-1.0995667819263224,2
Skrillex,72.0,0.555,0.9045000000000001,-2.9755000000000003,0.0943,0.004900000000000001,0.5745,0.19505,136.6575,5.244126699430419,2.401690754104537,0
Lukas Graham,44.0,0.765,0.473,-5.829,0.0514,0.287,0.391,0.34,119.992,1.9276074994188148,2.144528418351979,7
The Temptations,2.0,0.5720000000000001,0.418,-10.738,0.0349,0.635,0.0961,0.6940000000000001,104.566,-2.2681802257958634,1.1480093249474348,1
Nebu Kiniza,188.0,0.7979999999999999,0.568,-9.072000000000001,0.135,0.0213,0.0586,0.45,148.88,-1.087281828921341,-0.8959272506459626,5
FRENSHIP,38.0,0.6829999999999999,0.708,-6.244,0.0305,0.0398,0.6859999999999999,0.355,92.991,5.384869015496072,4.280655611687596,0
Zara Larsson,234.0,0.665,0.6990000000000001,-5.265,0.0617,0.0853,0.0839,0.585,101.976,-0.2041890934840501,-1.3262415965613426,2
JAY-Z,39.0,0.7375,0.8260000000000001,-4.898,0.2405,0.09365,0.465,0.76,123.536,3.9877458279708433,1.796084158422788,7
Luke Christopher,49.0,0.405,0.846,-3.57,0.195,0.0948,0.0666,0.602,82.23200000000001,0.10805097443341655,-1.7143509194406845,2
Nicki Minaj,519.0,0.808,0.6970000000000001,-5.324999999999999,0.1995,0.08860000000000001,0.1365,0.473,134.0105,0.437715873519211,-0.9600424215470744,2
O.T. Genasis,1.0,0.875,0.6729999999999999,-4.184,0.0932,0.135,0.292,0.231,130.0,1.863983940528918,0.3152777067690709,4
Russ,1093.0,0.738,0.635,-6.529,0.20600000000000002,0.132,0.109,0.39799999999999996,108.98200000000001,-0.29310092734479576,-0.7061010916421285,5
Tory Lanez,528.0,0.669,0.647,-7.093,0.22999999999999998,0.08499999999999999,0.1485,0.373,119.936,0.07811605644036122,-0.2751082307964657,5
Coldplay,35.0,0.503,0.7120000000000001,-6.412000000000001,0.0357,0.0254,0.109,0.252,108.897,-0.24839140628368964,-0.7966121939360352,5
Jeremih,51.0,0.5705,0.6135,-6.1875,0.08315,0.1109,0.1215,0.479,89.2835,-0.2733624113555379,-0.5143803093518069,5
